a,b,output,outputtype,datatype,metric,n_a,n_b,n_output,n_outputtype,n_datatype,count
156,false,DivideError(),error,DivideError,10.0,156,true,156,valid,UInt8,70
155,false,DivideError(),error,DivideError,10.0,155,true,155,valid,UInt8,87
154,false,DivideError(),error,DivideError,10.0,154,true,154,valid,UInt8,78
154,0,DivideError(),error,DivideError,10.0,154,1,154,valid,UInt64,6
153,false,DivideError(),error,DivideError,10.0,153,true,153,valid,UInt8,81
153,0,DivideError(),error,DivideError,10.0,153,1,153,valid,UInt64,4
152,false,DivideError(),error,DivideError,10.0,152,true,152,valid,UInt8,92
151,false,DivideError(),error,DivideError,10.0,151,true,151,valid,UInt8,37
150,false,DivideError(),error,DivideError,10.0,150,true,150,valid,UInt8,87
149,false,DivideError(),error,DivideError,10.0,149,true,149,valid,UInt8,79
149,0,DivideError(),error,DivideError,10.0,149,1,149,valid,UInt64,9
148,false,DivideError(),error,DivideError,10.0,148,true,148,valid,UInt8,62
147,0,DivideError(),error,DivideError,10.0,147,1,147,valid,UInt8,49
146,false,DivideError(),error,DivideError,10.0,146,true,146,valid,UInt8,70
145,false,DivideError(),error,DivideError,10.0,145,true,145,valid,UInt8,64
144,false,DivideError(),error,DivideError,10.0,144,true,144,valid,UInt8,76
144,false,DivideError(),error,DivideError,10.0,144,true,144,valid,UInt16,3
143,false,DivideError(),error,DivideError,10.0,143,true,143,valid,UInt8,74
142,false,DivideError(),error,DivideError,10.0,142,true,142,valid,UInt8,70
141,0,DivideError(),error,DivideError,10.0,141,1,141,valid,UInt64,6
141,false,DivideError(),error,DivideError,10.0,141,true,141,valid,UInt8,92
140,false,DivideError(),error,DivideError,10.0,140,true,140,valid,UInt8,77
139,false,DivideError(),error,DivideError,10.0,139,true,139,valid,UInt8,47
138,false,DivideError(),error,DivideError,10.0,138,true,138,valid,UInt8,84
137,false,DivideError(),error,DivideError,10.0,137,true,137,valid,UInt8,85
136,0,DivideError(),error,DivideError,10.0,136,1,136,valid,UInt64,2
136,false,DivideError(),error,DivideError,10.0,136,true,136,valid,UInt8,73
135,false,DivideError(),error,DivideError,10.0,135,true,135,valid,UInt8,71
134,false,DivideError(),error,DivideError,10.0,134,true,134,valid,UInt8,69
133,false,DivideError(),error,DivideError,10.0,133,true,133,valid,UInt8,85
132,false,DivideError(),error,DivideError,10.0,132,true,132,valid,UInt8,92
131,false,DivideError(),error,DivideError,10.0,131,true,131,valid,UInt8,84
130,0,DivideError(),error,DivideError,10.0,130,1,130,valid,UInt64,9
130,false,DivideError(),error,DivideError,10.0,130,true,130,valid,UInt8,84
129,false,DivideError(),error,DivideError,10.0,129,true,129,valid,UInt8,81
128,false,DivideError(),error,DivideError,10.0,128,true,128,valid,UInt8,80
128,0,DivideError(),error,DivideError,10.0,128,1,128,valid,UInt64,3
127,false,DivideError(),error,DivideError,10.0,127,true,127,valid,Int64,91
127,false,DivideError(),error,DivideError,10.0,127,true,127,valid,UInt8,82
126,false,DivideError(),error,DivideError,10.0,126,true,126,valid,UInt8,89
126,false,DivideError(),error,DivideError,10.0,126,true,126,valid,Int64,70
125,false,DivideError(),error,DivideError,10.0,125,true,125,valid,Int64,79
125,false,DivideError(),error,DivideError,10.0,125,true,125,valid,UInt8,69
124,0,DivideError(),error,DivideError,10.0,124,1,124,valid,Int64,103
124,false,DivideError(),error,DivideError,10.0,124,true,124,valid,UInt8,89
123,false,DivideError(),error,DivideError,10.0,123,true,123,valid,UInt8,68
123,false,DivideError(),error,DivideError,10.0,123,true,123,valid,Int64,81
122,false,DivideError(),error,DivideError,10.0,122,true,122,valid,Int64,77
122,false,DivideError(),error,DivideError,10.0,122,true,122,valid,UInt8,87
121,false,DivideError(),error,DivideError,10.0,121,true,121,valid,UInt8,78
121,false,DivideError(),error,DivideError,10.0,121,true,121,valid,Int64,71
120,false,DivideError(),error,DivideError,10.0,120,true,120,valid,UInt8,79
120,false,DivideError(),error,DivideError,10.0,120,true,120,valid,Int64,92
119,false,DivideError(),error,DivideError,10.0,119,true,119,valid,Int64,79
118,false,DivideError(),error,DivideError,10.0,118,true,118,valid,Int64,78
118,false,DivideError(),error,DivideError,10.0,118,true,118,valid,UInt8,36
118,0,DivideError(),error,DivideError,10.0,118,1,118,valid,UInt64,6
117,false,DivideError(),error,DivideError,10.0,117,true,117,valid,Int64,34
117,false,DivideError(),error,DivideError,10.0,117,true,117,valid,UInt8,35
